2026-02-27 14:56:50,395 [main] INFO  [] [] org.testng.internal.Utils - [TestNG] Running:
  C:\Automation-GIT\Framework_AE_Assignment\Framework_AE_Assignment\testng.xml

2026-02-27 14:56:50,432 [main] INFO  [] [] framework.listeners.TestListener - ===================XXXXXXXXXXXXXXXXXXXXXXXX=================
2026-02-27 14:56:50,439 [main] INFO  [] [] framework.listeners.TestListener - Starting Suite: PW_AE_Demo
2026-02-27 14:56:50,445 [main] INFO  [] [] framework.listeners.TestListener - Execution Enviornment: qa
2026-02-27 14:56:50,449 [main] INFO  [] [] framework.listeners.TestListener - =============================================================
2026-02-27 14:56:51,132 [main] INFO  [] [] framework.drivers.DriverManager - Initiating the Driver.....
2026-02-27 14:57:09,138 [main] INFO  [] [] framework.drivers.DriverManager - Launching Browser. HeadlessMode: false 
2026-02-27 14:57:09,577 [main] INFO  [] [] framework.drivers.DriverManager - Browser context launched
2026-02-27 14:57:10,502 [main] INFO  [] [] framework.drivers.DriverManager - Browser Page opened.
2026-02-27 14:57:17,998 [main] INFO  [] [] framework.drivers.DriverManager - Navigated to Base URL: https://automationexercise.com/
2026-02-27 14:57:17,998 [main] INFO  [] [] test.SignupTest - Initial Setup is completed
2026-02-27 14:57:18,849 [main] INFO  [qa] [Test_AE01_TC01_Verify_NewUser_SignUp] framework.listeners.TestListener - ----------- Starting Test : Test_AE01_TC01_Verify_NewUser_SignUp --------------
2026-02-27 14:57:18,850 [main] INFO  [qa] [Test_AE01_TC01_Verify_NewUser_SignUp] test.SignupTest - =============================================================
2026-02-27 14:57:18,851 [main] INFO  [qa] [Test_AE01_TC01_Verify_NewUser_SignUp] test.SignupTest - Start, Case:1 - Verify whether new user is able to register
2026-02-27 14:57:18,851 [main] INFO  [qa] [Test_AE01_TC01_Verify_NewUser_SignUp] test.SignupTest - =============================================================
2026-02-27 14:57:18,938 [main] INFO  [qa] [Test_AE01_TC01_Verify_NewUser_SignUp] test.SignupTest - Running, Step:1 - Navigate to SignUp page
2026-02-27 14:57:22,285 [main] INFO  [qa] [Test_AE01_TC01_Verify_NewUser_SignUp] test.SignupTest - Running, Step: 2 - Entering Signup credentials
2026-02-27 14:57:28,839 [main] INFO  [qa] [Test_AE01_TC01_Verify_NewUser_SignUp] test.SignupTest - Running, Step: 3 - Enter user account details
2026-02-27 14:57:35,930 [main] INFO  [qa] [Test_AE01_TC01_Verify_NewUser_SignUp] pages.ae.SignupDetailPage - Checkbox: Newsletter is set to: true
2026-02-27 14:57:35,954 [main] INFO  [qa] [Test_AE01_TC01_Verify_NewUser_SignUp] pages.ae.SignupDetailPage - Checkbox: Special Offers is set to: false
2026-02-27 14:57:52,011 [main] INFO  [qa] [Test_AE01_TC01_Verify_NewUser_SignUp] test.SignupTest - Running, Step: 4 - Verify account is created
2026-02-27 14:57:53,947 [main] INFO  [qa] [Test_AE01_TC01_Verify_NewUser_SignUp] test.SignupTest - Running, Step: 5 - Logged in as username is visible and able to logout
2026-02-27 14:57:53,994 [main] INFO  [qa] [Test_AE01_TC01_Verify_NewUser_SignUp] test.SignupTest - Running, Step: 6 - Delete Account
2026-02-27 14:57:57,887 [main] INFO  [qa] [Test_AE01_TC01_Verify_NewUser_SignUp] test.SignupTest - =====================End Case: User Registration=========================
2026-02-27 14:57:57,894 [main] INFO  [qa] [Test_AE01_TC01_Verify_NewUser_SignUp] framework.listeners.TestListener - {Test Passed: Test_AE01_TC01_Verify_NewUser_SignUp
2026-02-27 14:58:01,437 [main] INFO  [] [] framework.drivers.DriverManager - Closed Browser !!
2026-02-27 14:58:01,463 [main] INFO  [] [] test.SignupTest - Driver Shutdown successful !!
2026-02-27 14:58:01,501 [main] INFO  [] [] framework.drivers.DriverManager - Initiating the Driver.....
2026-02-27 14:58:06,057 [main] INFO  [] [] framework.drivers.DriverManager - Launching Browser. HeadlessMode: false 
2026-02-27 14:58:06,107 [main] INFO  [] [] framework.drivers.DriverManager - Browser context launched
2026-02-27 14:58:06,949 [main] INFO  [] [] framework.drivers.DriverManager - Browser Page opened.
2026-02-27 14:58:16,596 [main] INFO  [] [] framework.drivers.DriverManager - Navigated to Base URL: https://automationexercise.com/
2026-02-27 14:58:16,597 [main] INFO  [] [] test.SignupTest - Initial Setup is completed
2026-02-27 14:58:17,234 [main] INFO  [qa] [Test_AE01_TC05_Signup_ExistingMail] framework.listeners.TestListener - ----------- Starting Test : Test_AE01_TC05_Signup_ExistingMail --------------
2026-02-27 14:58:17,235 [main] INFO  [qa] [Test_AE01_TC05_Signup_ExistingMail] test.SignupTest - ==================================================================================
2026-02-27 14:58:17,235 [main] INFO  [qa] [Test_AE01_TC05_Signup_ExistingMail] test.SignupTest - Start, Case:5 - verify signup using already registered mail display error message
2026-02-27 14:58:17,235 [main] INFO  [qa] [Test_AE01_TC05_Signup_ExistingMail] test.SignupTest - ==================================================================================
2026-02-27 14:58:17,247 [main] INFO  [qa] [Test_AE01_TC05_Signup_ExistingMail] test.SignupTest - Running, Step:1 - Navigate to SignUp page
2026-02-27 14:58:20,662 [main] INFO  [qa] [Test_AE01_TC05_Signup_ExistingMail] test.SignupTest - Running, Step:2 - Entering new name and already registered email for SignUp
2026-02-27 14:58:24,722 [main] INFO  [qa] [Test_AE01_TC05_Signup_ExistingMail] test.SignupTest - Running, Step:3 - Verify error message is getting displayed
